,index,comments,like,dislike,predict,percent,truelike,wholelike
0,0,또라이,3416,381,1,62.34,3035,3797
1,1,연예계 은퇴 하신다고 기사 본적있는데.. 언제은퇴하세요??,1782,146,0,7.19,1636,1928
2,2,들볶을 안재현 없으니 어지간히 심심한가보다 ㅋㅋ 매일 셀카질이네,1483,137,0,5.21,1346,1620
3,3,안재현은 조용히 있는데 구혜선은... 완전 극과극이네,922,96,0,18.81,826,1018
4,4,호텔 사진 올렸다 팩트 들어가니 삭제 트리 타신 분 아니신가?,527,28,1,86.1,499,555
5,5,난 진짜 이해안되는게..둘이 100평넘는 단독주택살며 혼자 살림한게 아니거든..30평대 아파트에 애도없이  둘이 사는데 가사노동이 너무 버거웠다는게 말이 되나..외도는 증거가 있어야 됨 결혼전 사진갖고 저격하면 저만 미친여자되는걸 모를만큼 멍청한가,350,29,1,87.17,321,379
6,6,친구도 없어서  sns엔 맨날 혼자 집에서 찍은 셀카밖에 없냐. 심심하니까 별짓을 다한다,241,24,0,2.34,217,265
7,7,"거짓 호텔사진 올렸을 때 대중들이 형사고소하라는 댓글 많았음 진짜 고소당할 수도 있으니 ""이제 분풀이 끝이다 더 이상 안한다""라고 말하며 그 상황 넘어감 그러나 거짓 허언에 이렇게  그냥 넘어가주는 것은 구혜선에게 말리는 것이며 구혜선에게도 결국은 안좋음 곧 다시 거짓 허언증 도진다에 1000표 건다 안재현씨 법적으로 처리해요 그게 구저리에서 벗어나는 유일한 방법이에요",197,7,0,1.37,190,204
8,8,진짜 안재현 개불쌍,192,22,0,24.29,170,214
9,9,안재현씨 지금은 힘들어도 차라리 잘됬다고 생각되고 다음엔 구혜선씨 같은사람 만나지 마요  내리막길이 있음 오르막길도 있듯이  앞으론 좋은일 있을거예요,156,14,0,44.53,142,170
10,10,"일단, 정신과 가서 심리 상담을 좀 받아라..니 인생 니가 산다는데, 누가 뭐라 하겠노..SNS 너무 즐기지 마라..누구처럼 폐인된다..",129,7,1,99.89,122,136
11,11,너무외로워서 살고자 저러는거다 모든걸 닫고 숨는것보다는 건강하다 그냥냅둬라 인생의 한페이지다,185,64,1,96.13,121,249
12,12,이딴거 이제 그만 올려놔라. 제발 짜증난다 내가 널 고소하고 싶다 ㅠ,127,10,0,0.54,117,137
13,13,거짓인거 다 알면서도 그냥 무조건 올림 ㅋㅋ 그리고 욕들어 먹으면 삭제하고 다시 글 올려서 피해자 코스프레하고 ㅋ 거기다 댓글은 다 챙겨보고 ㅋㅋ 아직 안끝났을걸? 이제 안재현 드라마하고 그러면 글 또 올라올걸 ㅋ 본인 입으론 분풀이다 사랑하지 않는다하지만 아직 미련남음. 미련이 없으면 분풀이도 안하고 그냥 무관심하지,108,1,0,0.01,107,109
14,14,얜 항상 혼자있는 사진 밖에 없네 ㅋㅋㅋㅋ 정신상태가 그모양이니 친구가 없지 ㅋㅋㅋ,122,26,1,65.71,96,148
15,15,진정한 정신병자다~~,89,17,1,67.19,72,106
16,16,눈빛에 증오가득한거같음 평화로운척하고있는거같은데..혼자그림그리지말고 미술심리치료라도 받았음좋겠네,81,9,1,99.88,72,90
17,17,구혜선이 무슨 큰 죄를 안지은것처럼 이야기하는 사람들은 대체 평소에 얼마나 거짓말을 입에 달고사는거지? 허언증은 반사회성 인격장애다 타인에 공감능력이 떨어지니 자꾸 거짓말을 끊임없이 할수있는거임,76,9,0,0.73,67,85
18,18,갈수록징그럽고소름끼칩니다살다살다이런최악의연예인은처음입니다이제보니그동안안재현씨가너무너무불행하게살았다는게보이네요힘내시고좋은작품에서자주뵐수있길바랍니다,60,3,0,46.83,57,63
19,19,왜 이혼할려는지 알겠다 사람 피말리는 성격,62,7,0,3.19,55,69
20,20,미친여자 시리즈같아 ~나라도 정떨어져 도망가겠어 안재현씨 해방된다고 축하할 일인데~ 그래도 또 뭔짓할지모르니~ 긴장하시어,52,5,1,88.79,47,57
21,21,써클은 몇살까지 낄거?,50,5,0,18.33,45,55
22,22,안재현네 집에서 뭐하세요?,45,5,0,6.8,40,50
23,23,지가 올린 그 호텔 가운ㅋㅋ 이미 신혼일기때 지가 먼저 언급한거였다면서ㅋㅋㅋ 근데 그걸 불륜으로 쳐 우기는거냐?ㅋㅋㅋ 니가 주장한 치킨 뜯어먹고있는 문제의 그사진은?ㅋㅋㅋㅋ,39,1,0,0.35,38,40
24,24,예전부터 자기의 예술성을 엄청 자랑하고 싶은 건 같은데 나또한 예전부터 느낀거지만 그림이 항상 같애. 이것저것 손대는 건 많은데 제대로 하는게 없어. 차라리 하정우나 심은하처럼 제대로 배우고 하던가 그것도 아니고 10년전이나 지금이나 아직도 펜아트랍고 펜으로 그어 그린 기하학적 무늬만 가득한 그림이네. 하나도 그림세계가 달라진게 없는데 왜 전시회를 여는지 모르겠다...,36,6,0,19.51,30,42
25,25,맨날 문틈(?)같은데 끼여서(?) 셀카 찍는건가요? ㅜㅜ 이상해요... 그 털모자 색깔별로 갖고있던데 제발 안쓰면 안되나요 ㅠ 비둘기 아줌마 생각나요... 쓸수는 있는데 그거쓰면 안이쁜데 셀카 ㅠ,33,3,0,0.02,30,36
26,26,미친싸이코같아요 정신병자 같아요.왜자꾸 기사뜨나요  은퇴하지않았나요. 미저리같아요. 안재현 구혜선한테 왜질린지알게되었네요 추하다못해 안재현이얼마나힘들었을지 알것같아요왜 이혼하자했는지알것같아요,31,1,0,0.39,30,32
27,27,이런 걸로 기사로 쓰는게 문제다 이제 안보이게 기사 쓰지를 말어 관심있는 사람은 알아서 찾아보겠지,31,5,0,4.13,26,36
28,28,안재현 불쌍..고생많았네,28,5,1,61.13,23,33
