index,comments,like,dislike,predict,percent,truelike,wholelike
610,조국과 황교안 대결..난 아직결정안했음.왜냐고?조국이 남북관계대박 남아있고...홍콩영주권자인데..트럼푸양반이 팔아먹어 버린셈이라..활로를..이전살든..샌프란으로 다시갈생각.그나저나반일하지마라.조국 아거야..넌 대통되기에는 모르는게 넘많아.걱 정된다.,0,0,1,100.0,0,0
17,"이 정부 정말 구린정부구나? 서울,광주,대구만 남겨 놓는다고? 서울은 그렇다 치고 인천과 부산은? 검찰 특수부가 제일 필요한 곳이 부산과 인천인데 이걸 없앤다는 것은 덮고싶은 범죄가 역대급으로 크다는 거지. 얘들아 마약이 어디로 들어올것 같으냐? 내륙으로 들어올까 항구로 들어올까? 그리고 각종 비리사건의 몸통이 어느 지역에서 벌어진 일들이냐? 민주당과 이 진보라는 것들의 실체가 바로 이거야 국가전복 범죄세력!!!",16,0,1,100.0,16,16
858,개혁이라고 내 놓은게 모두 정경심이에게 유리하네 돈있고 권력있으면 죄지어도 괜찮다는건가 그자리에서 물러나 평등하게 수사받고       무죄가 나오면 국민이 당신을 그자리에 다시 앉혀줄건데 뭣이  그리겁나  못내려오는가  그런 처신이 정의아니겠는가  그럼 국민이 더 박수칠거고 정권지지율도 올라갈건데 왜 단순한 노리를 거스르닌지 알수없네 죄를 많이지었는갑네  겁은잔득머고 그정도 배짱으로  나쁜짓은 어찌했노 우리 쪽팔리게 살지는 말자 위선자 조국,6,0,1,100.0,6,6
339,"조국, 문죄앙의 범죄지가 부산이니 당연히 특수부가 수사하지 못하도록 부산의 특수부를 폐지하는 것이지 뭘그래 새삼 놀라는척 하는가. 조국 문죄앙의 범죄행위는 부산의 특수부가 가장 많은 정보를 가지고 있으니 당연히 이들을 특수부에서 배제하기 위해서 부산 특수부를 폐지하는 것이지 왜이겠는가. 그러니 검찰은 대한민국이 더 이상 망가지지 않지 않도록 조국, 문죄앙을 기소하여 감방으로 보내라 그것이 국민들의 염원이다.",6,2,1,100.0,4,8
761,"부산 특수부 없애야 엘시티 비리카르텔, 후일, 재조사 해야할 부산저축은행 사건관련자들이 편안하게 지낼 수 있고,공수처에서 조사받으면, 얼마든지빠져나갈 수 있으니까...그래서공수처에 사활을 걸고 있는 거 아닌가?내로남불 공수처! 반공유죄 공수처!",5,0,1,100.0,5,5
670,포토라인없애고 심야조사없애면 누가박수칠까? 일반인은 전혀상관없잖아요? 지금은 조국일족이 혜택받지만 이뒤에 정치인 대기업회장 연예인 기득권세력들이 낄낄대고 박수치고있겠지요? 정경심이 처럼 몰래 변호인동행해서 모른다.잘모르겠다.생각안난다.아프다하면서 편안하게 조사받을수있으니까 얼마나좋을까요.이게개혁....난 ~반댈세!!,3,0,1,100.0,3,3
649,페어플레이 하세요!!!. 현정부 재판개입 지나칩니다. 죄가 있는 곳에 마땅히 검찰의 수사가 필요합니다!! 죄짓지 않고 살았다면 검찰개혁을 왜 부르짓나요? 일반 국민에게는 그 보다 더 중요한 것은 비리가 있는 곳에 정의로운 검찰의 수사가 있는 것입니다. 수사나 철저히 받으세요!!,4,0,1,100.0,4,4
574,조국장관님!!!♡♡고생하시고 애쓰십니다.국민이 미안하고  감사합니다!!♡♡♡철저히  검찰 개혁!!!부탁드립니다^^♡,7,7,1,100.0,0,14
621,"특수부 부장검사 출신 변호사는 ""전국의 부패범죄가 사라지지 않은 상황에서 특수부가 축소될 때 웃는 것이 일반 시민일지 아니면 범죄자일지 생각해 볼 필요가 있다""고 말했다...........특수부 유지해서 좋은건 검사들 뿐이니까... 니들 웃는 꼴은 못 보겠다.... 일반시민 함부러 들먹거리지 마라",0,1,1,100.0,-1,1
928,"''힘이 곧 정의 이다!'' 권력을 잡은 민주당이 주장하는 것 곧 정의 라고 할수 있다. 권력이없는 자는 당연히 복종하고 따라야 사회질서가 유지된다. 권력이 없는 자들(자한당,광화문 집회자)이 권력에 저항하면서 발생되는 사회혼란은 결코 용인할 수 없다. 권력의 목적을 훼손하기 때문이다. 또한 목적이 정의롭다(검찰개혁)면 수단은 정의롭지 못해도(조국 법무부장관)용인되어야 한다. 목적이 수단을 정당화할 수 있는 사회가 진정 실용적인 가치를 포용하는 사회라 할 수 있다. 진보는 이런 사회를 지향한다.",0,8,1,100.0,-8,8
