,index,comments,like,dislike,predict,percent,truelike,wholelike
0,0,전형적인 지부동 공먼 스퇄......문씨보다 더 답답한 고구마 스타일.......ㅠ,1,0,0,1.31,1,1
1,1,사기치고 있는 민주당은 아웃이다,1,0,0,2.43,1,1
2,2,일 잘하는 놈은 두자. OOO 거지같은 것들도 많은데 거기나 신경쓰자.,0,0,0,4.42,0,0
3,3,물총리  눈이있어도 입이있어도 청와대에게는 바보 물총리...,1,1,0,16.28,2,0
4,4,"그래봤자, 전라도에 의한, 전라도의, 전라도를 위한 총리일뿐....그 이상 이하도 아니다....전라도 지지율 믿고 건방떨지 마라",2,1,0,0.49,3,1
5,5,지가 뭐라도 된 듯. 못난 놈,0,0,0,9.57,0,0
6,6,진정한 차기 대통령감이다. 정무감각도 훌륭하고 인품이나 언변 뭐 하나 빠지는 부분이 없음.,3,2,1,99.84,5,1
7,7,책임 총리제가 되었다면 대통령과 임기를 같이하는 것이다. 총리를 국회에서 추천하는 개헌을 해야 할 것 같다.,1,0,1,62.67,1,1
8,8,최장수 전라도 얼굴 마담이지. 한 일이 뭐냐?,3,1,0,14.37,4,2
9,9,댓글알바 심각하네,0,0,0,2.72,0,0
10,10,"나라 개판 쳐 놓고, 총선 나온다고, 지나가는 소가 웃을 일이다.",1,0,0,0.6,1,1
11,11,천년묵은 구렁이 느낌,0,0,0,26.84,0,0
12,12,수고하셨고 앞으론 안 뵈었음 합니다,1,0,1,95.24,1,1
13,13,그나마 문대통령님의 그릇이 크니까 전적인 권한위임을 해서  이렇게 오래 포용하는거지. 쥐나 503같은 쫌팽이들은 허수아비들이나 세워두었지.,0,0,0,1.49,0,0
14,14,사람이 얼마나 없으면...,1,1,0,10.95,2,0
15,15,항상 겸손하신 모습에 놀라고 왜 이제야 나온신겁니까..국내에서 볼수없는 정치인은 확실하다..,3,5,1,86.1,8,-2
16,16,마치 국가에 충성하는것처럼 꾸미고있네  니몸을  니마음데로 못하면 산에 누운 송장이란  말인가잘못된정권을 바로잡을  생각은 않고 눈깔통 똥꾸에 주디박고 빨아되는  꼬라지 전형적인  귀향지  종자의  행태다,3,0,0,0.16,3,3
17,17,이낙연이 대통령 되면 이민 간다.,3,2,0,23.24,5,1
18,18,최소한 의전에 취한 삭발쟁이처럼 굴진 않을거라 믿소,0,1,1,95.13,1,-1
19,19,당신은 이미 흉하고 멋대로 총리짓했다!!,2,0,0,8.99,2,2
20,20,핫바지..느낌을 이제서야  알았다..ㅉㅉ,2,0,1,74.88,2,2
21,21,이낙연은 이제 친문이다. 총리를 안했다면 몰랐을텐데 정말 품격 높은 정치인이라고 생각한다,3,4,1,54.63,7,-1
22,22,자유당 대표 워래대표 그이하 똘마니들 세금만 축내고 일년내내 뭐했냐~ㅇㅇㅇ들아 우리집 똥개는 집이라도 지키지~일좀해라 ㅇㅇㅇ들아,2,2,0,0.96,4,0
23,23,단군이래 최대 공산당 민주당과 정의당은 이번 국회의원 선거에서 나라망친 죗값으로 폐당 되리,3,0,0,0.36,3,3
24,24,한게 뭐있니 ?,0,0,0,34.42,0,0
25,25,"그간 삶의 궤작, 제도권안애서의 교육, 월급쟁이 경험, 정치 경험, 행정 경험., 진증한 인품 ...차기로 마땅하다.",4,2,1,99.94,6,2
26,26,깜도 안되면서... 귀농이나하시오.,1,2,0,9.2,3,-1
27,27,음흉한능구렁이,4,1,0,48.34,5,3
28,28,댓글들 멋지네 늙음 죽어야지...,0,1,1,80.05,1,-1
29,29,흉한거 잘 알고있네 흉하다 흉해 조국 궤변으로 옹호하던 모습,2,2,1,85.37,4,0
30,30,가만히 있음 중간이라도 가지...조국사태때  남자 검찰들이 여자들만 있는집에  들어가 압수수색 하고  짜장시켜먹었다고  가짜뉴스 전파해서...머리텅텅 빈거 알게됨.. 이제  안봤음 좋겠음!,7,3,1,55.87,10,4
31,31,유령총리ㆍ식물총리있으나 마나 존재감이 없는 총리 오래해서뭐할꼬이름만 더럽히지,1,1,0,10.76,2,0
32,32,이낙년이 간다고 해서 달라지는 건 하나도 없을텐데,2,1,0,41.21,3,1
33,33,역시  대통령감이네요.  서민을 생각해주심  감사,2,3,1,97.82,5,-1
34,34,괴뢰 문재인이 망가졌으니 주인이 직접 전면에 나설 때가 되지 않았나?,0,0,0,11.49,0,0
35,35,토착왜구ㅋㅋㅋㅋㅋㅋ,0,0,0,33.71,0,0
36,36,이낙연을 한마디로 표현하라면 의뭉스럽다라고 하고프네요.,0,0,0,11.14,0,0
37,37,업적 세금축내기 돈퍼줘서 인심 쌓기 ㅋㅋ,0,0,0,16.2,0,0
38,38,능구렁이가 수백마리는 들어앉아있을것같네  바른소리하나 안하고 자빠져있는데 뭔자랑질이냐,1,1,0,1.02,2,0
39,39,넌 그냥 흉해,0,0,0,5.57,0,0
40,40,엉큼하고 잔인한 이기주의자 가면을 벗겨야 부산의전아들,1,2,0,0.73,3,-1
41,41,모든 여권 꽂아 놓아도 나라가 이 모양이면 실패작,0,0,0,2.13,0,0
42,42,계속 총리직에 계시길,0,0,1,83.12,0,0
43,43,좋은것만할려고했어요?,0,0,0,27.49,0,0
44,44,동생 연루된거 조사 받아야죠?,0,0,0,25.97,0,0
45,45,워낙 안정적이고 신중하셔서 ㅠㅠ 참 지금 민주당 어쩐데 ㅠㅠ,0,0,1,73.52,0,0
46,46,업적이 없으니 내려올 일이 없지ㅋㅋ,0,0,0,25.73,0,0
47,47,나도 이낙연 총리에게 한표!,5,0,1,83.07,5,5
48,48,누가보면 유능해서 총리 된듯,3,0,1,68.46,3,3
49,49,헛바지 아니가  그만큼  사람이 민주당엔 없다는 증거야   진정한 진보가답인데  그당에는 없다는거지,0,1,1,93.17,1,-1
50,50,조중동의 센터 중찌라시 벌레3집합소,1,0,0,17.92,1,1
51,51,중앙 찌라시 제목으로 장난 그만 해라~ 마이 묵으따이가?!,1,0,0,0.06,1,1
52,52,제일 무능한 총리  장수 할수밬에 내시형  가만히  쫄쫄 쫏아다녓네요  멍청하다못해  간신형,0,1,0,17.53,1,-1
53,53,무능한 민주당 국회의원들아 다른사람 그늘에 숨어서 국회의원 하려말고 일이나 잘해라 너희는 틀렸오!,1,1,1,99.0,2,0
54,54,겸손하고 진정성 있고 차분하고 총리로서 정치인으로서 저정도 인물을 찾기가 힘들죠,5,4,1,96.82,9,1
55,55,총리님 일왕 만나서 좋았음?,1,0,1,78.83,1,1
56,56,나는 이낙연총리 맘에든다 뭔가 진중하고 진지하고 특히 카리스마가 일품이지 절대로 화내지않는 냉정하게 판단하는 이낙연 기억하고 있겠음.,6,3,1,100.0,9,3
57,57,"가짜평화팔이 안보파괴, 대북제제위반 이적행위, 한미동맹파괴, 기업적대시,법인세,최저임금 급격인상과 소득주도니 뭐니 하는 생산성증가 없이 부자돈 뺏어 저소득자에게 뿌려 경제가 활성화시킨다는 미친짓으로 제조업, 자영업폭망시키고, 대일외교파괴로 산업파괴위기에 북괴처럼 자력갱생떠들고,혈세80조넘게 쓰고 일자리는 박멸시키고, 노인공공알바 수십만개 만들어 통계조작하고!! 결국 세금 몇십만원에 의지하며 살게해 가난한 인간들 더 증가시켜 정부의존도높여 장기집권하려는 종북사회주의 문두로정부와 더불어공산당!! 정신차리고 총선투표로 모두 몰아내자!",2,2,0,0.0,4,0
58,58,아마 절라도. 광주에서 나올걸,0,0,0,2.57,0,0
59,59,그나물에 그밥인데 이곳도 희망없다. 내년 총선에 누굴찍을까? 아베나 찍을까?,0,0,0,4.67,0,0
60,60,현정부의 국정 운영이 개판인데 그 개판을 안정적으로 이끌었다는 뜻인가요? 진짜 몰라서 물어보는거에요,2,0,0,0.01,2,2
61,61,친노 순혈주의에 정동영이 희생되었듯이 친문 순혈주의에 이낙연이 희생될 가능성이 높다 더러운 친노친문의 영남패권주의,1,0,0,1.25,1,1
62,62,전라도 총리답네,0,0,0,28.57,0,0
